,age,sex,income,height,city,education,children
432,85,Female,95481,1.76,New York,Master,1
433,14,Male,42570,1.76,Los Angeles,Bachelor,1
434,18,Male,79106,1.84,Chicago,PhD,0
435,34,Male,87052,1.77,Chicago,PhD,5
436,15,Male,42813,1.67,Los Angeles,Master,1
437,14,Male,39308,1.51,New York,PhD,1
438,96,Male,20684,1.75,New York,No especificado,5
439,71,Female,82336,1.55,Houston,Bachelor,3
440,20,Female,68146,1.94,Houston,Bachelor,0
441,35,Female,98478,1.57,Houston,Bachelor,0
442,37,Male,22867,1.91,Houston,No especificado,5
443,78,Male,79056,1.76,Phoenix,No especificado,3
444,27,Male,41745,1.9,Chicago,Bachelor,1
445,92,Male,82970,1.99,Los Angeles,No especificado,5
446,44,Female,84534,1.74,Los Angeles,Master,4
448,88,Male,61885,1.72,Los Angeles,Master,0
449,82,Female,74562,1.9,Phoenix,PhD,0
450,34,Male,30620,1.79,Houston,No especificado,4
451,65,Male,79176,1.72,New York,Master,0
452,63,Female,20984,1.75,New York,Bachelor,1
453,33,Male,32841,1.78,Phoenix,Bachelor,3
454,7,Female,22534,1.58,Chicago,PhD,2
455,12,Female,43715,1.99,New York,Bachelor,1
456,82,Female,88039,1.8,New York,Bachelor,5
457,55,Female,29523,1.54,Chicago,No especificado,1
458,36,Female,70795,1.72,Los Angeles,Bachelor,1
459,6,Female,75681,1.68,Houston,Master,0
460,1,Male,29476,1.89,Houston,PhD,5
461,43,Female,82305,1.53,Houston,Master,3
462,99,Female,81469,1.61,Phoenix,Bachelor,5
463,17,Male,66062,1.76,Los Angeles,Master,3
464,82,Male,54555,1.62,New York,Bachelor,2
465,34,Female,86624,1.76,Houston,PhD,3
466,21,Male,80184,1.95,Houston,Bachelor,1
467,95,Female,63126,1.74,Chicago,No especificado,0
468,57,Male,36342,1.68,Chicago,Bachelor,5
469,71,Female,77495,1.79,New York,No especificado,1
470,91,Male,39240,1.57,Phoenix,No especificado,5
471,55,Male,57377,1.71,Houston,Master,0
472,72,Male,50214,1.78,Chicago,No especificado,5
473,2,Female,31856,1.87,Los Angeles,No especificado,2
474,15,Male,91876,1.66,Houston,Bachelor,2
475,10,Male,21938,1.81,Los Angeles,Master,4
476,89,Male,39015,1.66,Chicago,Bachelor,2
477,20,Female,28828,1.95,Houston,Bachelor,1
479,5,Male,31454,1.87,New York,PhD,3
480,48,Female,88538,1.64,Houston,Bachelor,3
481,75,Male,54314,1.68,Chicago,Bachelor,5
482,71,Male,80148,1.69,Los Angeles,Bachelor,5
483,19,Female,84323,1.93,Los Angeles,No especificado,4
484,56,Female,90878,1.7,Los Angeles,Bachelor,0
485,17,Female,54973,1.9,Chicago,Bachelor,0
486,6,Female,24195,1.77,Chicago,Master,0
487,40,Male,50043,1.52,New York,PhD,5
489,6,Male,74848,1.85,Houston,No especificado,0
490,46,Female,45539,1.82,Houston,Master,2
491,27,Male,57094,1.99,Phoenix,Bachelor,5
493,32,Female,96534,1.62,Phoenix,No especificado,5
494,86,Female,85684,1.84,Chicago,Master,1
495,14,Female,93535,1.94,Houston,PhD,4
496,46,Male,57815,1.69,New York,Bachelor,1
497,100,Female,83725,1.86,Houston,Master,3
498,72,Male,78534,1.82,Houston,PhD,3
500,80,Female,58486,1.92,Los Angeles,Master,2
501,96,Female,44900,1.97,Phoenix,Bachelor,1
502,20,Male,93217,1.79,New York,No especificado,3
503,31,Female,83964,1.79,New York,Bachelor,4
504,21,Male,36582,1.81,Los Angeles,Bachelor,5
505,23,Male,72641,1.75,Los Angeles,No especificado,2
506,53,Male,30596,1.96,Phoenix,PhD,4
507,4,Female,50647,1.6,New York,Bachelor,2
509,95,Male,96684,1.85,Chicago,PhD,4
511,53,Male,73776,1.95,Chicago,PhD,2
512,86,Male,74538,1.57,Chicago,Bachelor,3
513,95,Female,49714,1.85,Chicago,Bachelor,1
514,32,Female,32194,1.56,Phoenix,No especificado,5
515,35,Female,76549,1.86,Los Angeles,Master,2
516,21,Male,53071,1.98,Houston,Master,0
517,90,Female,54723,1.94,Phoenix,No especificado,1
518,14,Male,22731,2.0,Chicago,Bachelor,2
519,49,Female,26116,1.87,Los Angeles,Bachelor,1
520,5,Male,21056,1.55,Los Angeles,No especificado,4
521,61,Female,21723,1.73,Phoenix,PhD,0
522,29,Male,86830,1.72,Houston,No especificado,4
523,26,Female,51191,1.89,Los Angeles,Master,1
524,59,Male,64087,1.69,New York,PhD,0
525,45,Male,65659,1.61,Los Angeles,PhD,0
526,40,Male,65746,1.77,Los Angeles,No especificado,0
527,30,Female,41679,1.9,Phoenix,Bachelor,5
528,29,Male,50375,1.94,Chicago,PhD,5
529,4,Male,80601,1.52,Houston,Bachelor,3
530,85,Male,56460,1.87,Los Angeles,No especificado,1
531,25,Female,24414,1.87,Phoenix,Bachelor,2
532,52,Female,52489,1.99,New York,Master,1
534,36,Male,91031,1.53,Los Angeles,PhD,5
535,9,Female,50175,1.92,Los Angeles,PhD,5
536,99,Male,50321,1.92,Chicago,Bachelor,5
538,45,Female,50802,1.95,New York,Master,4
539,83,Male,79064,1.8,Chicago,PhD,1
540,66,Male,20968,1.82,Los Angeles,No especificado,4
541,52,Male,78983,1.59,Chicago,Master,4
542,87,Male,85627,2.0,Chicago,Bachelor,3
543,69,Female,48346,1.85,Chicago,Bachelor,5
544,43,Male,60819,1.94,Los Angeles,Bachelor,3
545,4,Male,24564,1.87,New York,PhD,5
546,15,Female,44278,1.54,Phoenix,No especificado,2
547,34,Male,26283,1.99,New York,Bachelor,2
548,23,Male,20973,1.88,Houston,No especificado,4
549,75,Male,22011,1.89,New York,Bachelor,2
550,34,Male,94913,1.88,Los Angeles,Bachelor,1
551,5,Male,78832,1.8,Houston,Master,2
552,14,Female,57940,1.61,Los Angeles,No especificado,0
553,77,Male,64293,1.8,Phoenix,Bachelor,5
554,56,Male,84830,1.94,Phoenix,Master,3
555,45,Male,36423,1.86,Chicago,PhD,1
556,94,Female,55418,1.98,Houston,Bachelor,4
557,41,Male,46827,1.88,Phoenix,No especificado,0
558,56,Male,79850,1.8,Houston,Master,5
559,78,Male,60209,1.56,Houston,No especificado,0
560,66,Female,76660,1.87,New York,PhD,4
561,15,Female,86706,1.52,Houston,PhD,1
562,50,Female,29208,1.68,Houston,Bachelor,3
563,74,Female,87137,1.59,New York,Master,1
564,25,Female,46333,1.72,Phoenix,No especificado,3
565,33,Female,56627,1.88,Chicago,No especificado,3
566,6,Male,80875,1.99,Chicago,Bachelor,2
567,91,Male,36530,1.56,Chicago,Master,2
568,56,Female,22845,1.84,New York,PhD,2
570,67,Male,96151,1.72,Los Angeles,No especificado,0
571,69,Female,52340,1.83,New York,Bachelor,3
572,88,Male,31855,1.9,Los Angeles,Bachelor,2
573,93,Male,75274,1.76,New York,Master,0
574,95,Female,75584,1.92,Chicago,Bachelor,3
575,95,Male,65105,1.54,New York,No especificado,4
576,86,Female,30634,1.8,Phoenix,No especificado,3
577,26,Female,75723,1.6,New York,No especificado,1
578,47,Female,21613,1.96,Phoenix,PhD,2
579,56,Female,83551,1.55,Houston,Master,3
580,9,Male,85633,1.61,Houston,PhD,2
581,86,Female,65327,1.82,Los Angeles,PhD,1
582,43,Female,51794,1.83,New York,Bachelor,2
583,80,Female,94475,1.87,Phoenix,Master,5
584,41,Female,26551,1.67,Houston,Bachelor,1
585,85,Male,44758,1.77,Chicago,PhD,5
586,16,Female,52140,1.62,Phoenix,Bachelor,0
587,93,Female,40257,1.76,Los Angeles,Master,1
588,39,Male,52005,1.99,Chicago,Bachelor,1
589,65,Female,35779,1.64,New York,PhD,1
590,40,Female,73832,1.54,Houston,Bachelor,0
591,86,Female,27042,1.94,Houston,Master,5
592,53,Female,43032,1.63,Phoenix,No especificado,3
593,42,Female,30187,1.55,Los Angeles,Master,4
595,90,Male,92739,1.54,New York,Master,5
596,38,Male,99520,1.83,Phoenix,Master,5
597,71,Male,25885,1.61,New York,Bachelor,4
598,17,Female,46745,1.87,Houston,Master,5
599,25,Female,47512,1.8,Los Angeles,Bachelor,5
600,54,Female,62636,1.73,Chicago,PhD,5
601,86,Male,60578,1.62,Phoenix,No especificado,0
603,87,Male,67619,1.73,Phoenix,No especificado,3
604,96,Female,83528,1.72,New York,Bachelor,1
605,23,Female,95634,1.98,Chicago,PhD,4
607,73,Male,32703,1.91,Phoenix,Master,2
608,39,Male,22841,1.64,Phoenix,Bachelor,4
609,52,Female,93923,1.81,Chicago,Bachelor,0
611,1,Female,23638,1.83,New York,No especificado,0
612,39,Male,31797,1.92,New York,PhD,3
